Name,Team,Level,Age,AB,PA,H,1B,2B,3B,HR,RBI,SB,R,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Osleivis Basabe","SFG","AAA",24,430,477,107,67,24,2,14,56,7,62,0.069182389,0.176100628,0.392857142,0.248837209,0.309322033,0.411627906,0.720949939,0.162790697,5.225375100164079,0.27761194,0.08963377866894007,52.86094866461044,-17.19260926776642,0.32029106202772106,85.39391389763031,"23985"
"Jonathan Ornelas","TEX","AAA",25,393,454,77,58,6,3,10,35,9,44,0.112334801,0.253303964,0.44347826,0.195928753,0.295154185,0.302798982,0.597953167,0.106870229,4.875990134590161,0.246323529,-1.408213462214917,36.1688221381071,-25.180259944402895,0.2803207618736588,62.22110128101778,"24597"
"Owen Miller","COL","AAA",28,394,441,109,72,25,1,11,65,13,64,0.065759637,0.160997732,0.408450704,0.276649746,0.328798185,0.42893401,0.757732195,0.152284264,5.5001620372777325,0.303405572,0.23940650932490826,54.672809804377934,-10.09368715197048,0.33467994782389426,76.46650419535374,"24655"
"Levi Jordan","CIN","AAA",29,414,461,98,69,20,2,7,30,17,53,0.078091106,0.145336225,0.537313432,0.236714975,0.306521739,0.345410628,0.651932367,0.108695653,6.117470127109566,0.265306122,1.5371373295783997,44.972968819788704,-15.356678989478345,0.2995588809251785,75.48900395470677,"25138"
"Drew Avans","MIL","AAA",29,388,444,112,84,19,1,8,58,40,72,0.112612612,0.191441441,0.588235294,0.288659793,0.371621621,0.404639175,0.776260796,0.115979382,6.57946001910969,0.348993288,2.96567906672135,64.39977296083336,2.7437751480854082,0.3554615708021762,100.47507697904007,"25183"
"Michael Stefanic","TOR","AAA",29,363,442,104,81,17,0,6,51,6,48,0.133484162,0.099547511,1.34090909,0.286501377,0.402714932,0.38292011,0.785635042,0.096418733,2.485237651545147,0.3081761,-2.8574955062940717,68.63686323922008,10.793686814716752,0.3682447403534505,122.3856243929582,"25353"
"Nick Sogard","BOS","AAA",27,340,409,94,67,22,0,5,28,16,64,0.156479217,0.178484107,0.876712328,0.276470588,0.393120393,0.385294117,0.77841451,0.108823529,4.82286936182179,0.338403041,0.2440504627302289,61.95296520706176,8.428396977148054,0.363708521575834,114.9218886660175,"25483"
"Marco Luciano","SFG","AAA",23,462,555,99,54,21,1,23,66,10,76,0.153153153,0.306306306,0.5,0.214285714,0.335135135,0.413419913,0.748555048,0.199134199,4.3045096057275005,0.276363636,-0.6073871734552085,69.95093767541199,-11.557919038359827,0.336936553856274,95.76126207898429,"25616"
"Bryan Ramos","CHW","AAA",23,371,431,80,46,17,1,16,51,13,60,0.097447795,0.222737819,0.4375,0.215633423,0.309133489,0.396226415,0.705359904,0.180592992,5.478958128634251,0.243346007,-0.0598819088190794,48.90852388404096,-7.495116475599164,0.3185014694021792,78.6043749442554,"25621"
"Cody Freeman","TEX","AAA",24,384,426,129,85,25,0,19,71,8,75,0.07511737,0.08685446,0.864864864,0.3359375,0.382075471,0.549479166,0.931554637,0.213541666,3.8488514542416925,0.328358208,-1.863170966040343,78.99768795963,16.43413307662677,0.4019110270425783,130.63629987678692,"25629"
"Cam Devanney","KCR","AAA",28,379,435,101,58,20,3,20,66,5,52,0.101149425,0.245977011,0.411214953,0.266490765,0.352534562,0.493403693,0.845938255,0.226912928,4.218985907379727,0.317647058,-1.3036676961928606,69.40392963485758,12.476821615267196,0.3732493777978255,120.3591616070574,"25688"
"Grant McCray","SFG","AAA",24,444,510,111,72,19,5,15,71,27,73,0.107843137,0.270588235,0.398550724,0.25,0.32938856,0.416666666,0.746055226,0.166666666,7.621341277228239,0.322147651,2.889834627509117,62.386210075897594,-12.513820417838671,0.33287658458630714,93.23258251451851,"25690"
"Dustin Harris","TEX","AAA",25,372,425,106,74,19,2,11,41,33,70,0.103529411,0.174117647,0.594594594,0.284946236,0.368794326,0.43548387,0.804278196,0.150537634,7.213448075951627,0.329861111,3.6095925788395107,63.762884417972,1.34619233985844,0.3631794996453688,106.51305772459455,"25705"
